,day,date,time,home,xg_home,score,xg_away,away,attendance,venue,referee
1888,Sat,2018-01-13,18:30,Eibar,0.9,0–1,1.1,Atlético Madrid,6186.0,Estadio Municipal de Ipurúa,Antonio Matéu Lahoz
1889,Sat,2018-01-13,20:45,La Coruña,1.7,1–2,0.5,Valencia,19031.0,Estadio Municipal de Riazor,Alberola Rojas
1890,Sun,2018-01-14,12:00,Levante,1.4,0–1,0.2,Celta Vigo,17007.0,Estadio Ciudad de Valencia,Alfonso Álvarez
1891,Sun,2018-01-14,16:15,Alavés,0.4,1–0,0.6,Sevilla,19413.0,Estadio de Mendizorroza,José Sánchez
1892,Sun,2018-01-14,18:30,Espanyol,1.4,1–1,0.7,Athletic Club,20228.0,RCDE Stadium,Daniel Trujillo
1893,Sun,2018-01-14,20:45,Real Sociedad,0.8,2–4,1.3,Barcelona,23277.0,Estadio Municipal de Anoeta,José González
1894,Mon,2018-01-15,21:00,Betis,2.1,3–2,1.9,Leganés,41777.0,Estadio Benito Villamarín,Ignacio Iglesias
1896,Fri,2018-01-19,21:00,Getafe,3.4,2–2,1.2,Athletic Club,11457.0,Coliseum Alfonso Pérez,Jesús Gil
1897,Sat,2018-01-20,13:00,Espanyol,1.4,0–3,1.3,Sevilla,19607.0,RCDE Stadium,Alberto Undiano
1898,Sat,2018-01-20,16:15,Atlético Madrid,1.3,1–1,0.6,Girona,55076.0,Estadio Wanda Metropolitano,Ricardo de Burgos
1899,Sat,2018-01-20,18:30,Villarreal,2.9,2–1,1.3,Levante,16773.0,Estadio de la Cerámica,José González
1900,Sat,2018-01-20,19:45,Las Palmas,2.6,2–1,1.8,Valencia,20242.0,Estadio de Gran Canaria,José Munuera
1901,Sun,2018-01-21,12:00,Alavés,2.5,2–2,1.4,Leganés,19637.0,Estadio de Mendizorroza,Daniel Trujillo
1902,Sun,2018-01-21,16:15,Real Madrid,3.2,7–1,1.8,La Coruña,63504.0,Estadio Santiago Bernabéu,David Fernández
1903,Sun,2018-01-21,18:30,Real Sociedad,1.8,1–2,1.7,Celta Vigo,19081.0,Estadio Municipal de Anoeta,Antonio Matéu Lahoz
1904,Sun,2018-01-21,20:45,Betis,0.4,0–5,2.4,Barcelona,53426.0,Estadio Benito Villamarín,Santiago Jaime
1905,Mon,2018-01-22,21:00,Eibar,1.7,1–1,1.3,Málaga,4520.0,Estadio Municipal de Ipurúa,David Medié
1907,Fri,2018-01-26,21:00,Athletic Club,1.3,1–1,1.0,Eibar,39331.0,San Mamés,Mario Melero
1908,Sat,2018-01-27,13:00,La Coruña,1.0,2–2,0.8,Levante,19973.0,Estadio Municipal de Riazor,Pablo González
1909,Sat,2018-01-27,16:15,Valencia,1.7,1–4,2.9,Real Madrid,47034.0,Estadio de Mestalla,Javier Estrada
1910,Sat,2018-01-27,18:30,Málaga,0.5,0–0,0.6,Girona,22125.0,Estadio La Rosaleda,Alberto Undiano
1911,Sat,2018-01-27,20:45,Villarreal,1.3,4–2,1.2,Real Sociedad,15052.0,Estadio de la Cerámica,Carlos del Cerro
1912,Sun,2018-01-28,12:00,Leganés,0.6,3–2,1.5,Espanyol,10132.0,Estadio Municipal de Butarque,Juan Martínez
1913,Sun,2018-01-28,16:15,Atlético Madrid,2.4,3–0,0.4,Las Palmas,55363.0,Estadio Wanda Metropolitano,Alfonso Álvarez
1914,Sun,2018-01-28,18:30,Sevilla,1.7,1–1,0.6,Getafe,34011.0,Estadio Ramón Sánchez Pizjuán,Alberola Rojas
1915,Sun,2018-01-28,20:45,Barcelona,1.8,2–1,0.6,Alavés,62369.0,Camp Nou,Ignacio Iglesias
1916,Mon,2018-01-29,21:00,Celta Vigo,1.9,3–2,1.4,Betis,14667.0,Estadio de Balaídos,José Sánchez
1918,Fri,2018-02-02,21:00,Real Sociedad,2.9,5–0,0.3,La Coruña,15626.0,Estadio Municipal de Anoeta,Alberto Undiano
